image,cer,truth_chars,predicted_chars,frame_coverage,letter_ratio,capture_rate,truth_e_codes,predicted_e_codes,e_code_recall,additives_in_truth,additive_name_recall
(Adobo)BB-label04.jpg,2.9547,419,1652,0.254,0.917,1.0,0,0,,0,
(Adobo)WowUlam-label16.jpg,3.2271,524,2179,0.24,0.9,0.906,0,0,,0,
(Afritada)BB-label01.jpg,2.8661,478,1822,0.262,0.914,0.952,0,0,,0,
(Argentina)Beefloaf-label17.jpg,4.5121,371,2043,0.182,0.874,0.957,0,0,,0,
(Argentina)Cornbeef-label14.jpg,7.5925,292,2507,0.116,0.865,0.973,0,0,,0,
(Bingo)CornedBeef-label19.jpg,4.2067,300,1552,0.193,0.895,0.919,0,0,,0,
(Black)FamilySardines-label15.jpg,6.2807,171,1238,0.138,0.819,0.9,0,0,,0,
(Caldereta)BB-label03.jpg,2.5959,443,1566,0.283,0.929,0.931,0,0,,0,
(Chili)MegaSardines-label11.jpg,5.1099,182,1099,0.166,0.887,0.958,0,0,,0,
(Chinese-Style)Luncheon-Meat-label09.jpg,2.5513,448,1560,0.287,0.948,0.963,0,0,,1,1.0
(Flakes&Oil)CT-label05.jpg,6.0478,335,2346,0.143,0.911,0.932,0,0,,0,
(Holiday)Luncheon-Meat-label10.jpg,3.05,520,1997,0.26,0.869,0.844,0,0,,0,
(Hot&Spicy)BB-label02.jpg,2.7865,370,1380,0.268,0.924,0.792,0,0,,0,
(Hot&Spicy)CT-label06.jpg,7.026,308,2470,0.125,0.9,0.976,0,0,,0,
(Lucky7)CarneNorte-label18.jpg,4.0203,344,1720,0.2,0.903,0.902,0,0,,0,
(Red)FamilySardines-label13.jpg,7.9162,179,1592,0.112,0.824,0.952,0,0,,0,
(SanMarino)CornedTuna-label20.jpg,8.0,156,1400,0.111,0.856,0.955,0,0,,0,
(Tausi)555-label08.jpg,5.4098,244,1562,0.156,0.915,0.943,0,0,,0,
BirchTree-label32.jpg,0.8578,415,341,1.217,0.386,0.0,0,0,,0,
Blanca-label31.jpg,1.186,500,668,0.749,0.256,0.0,0,0,,0,
C2-label25.jpg,1.6564,227,593,0.383,0.931,0.966,0,0,,0,
Chuckie-label21.jpg,2.4359,351,1201,0.292,0.877,1.0,0,0,,0,
DelMonte-label26.jpg,9.4804,102,1064,0.096,0.753,1.0,0,0,,0,
DutchMill-label22.jpg,3.0749,708,2860,0.248,0.801,0.962,0,0,,0,
EnergenChocolate-label36.jpg,0.847,660,583,1.132,0.335,0.0,1,0,0.0,0,
EnergenMilk-label29.jpg,3.0435,620,2432,0.255,0.895,0.824,1,1,0.0,0,
FR-label07.jpg,3.4135,370,1622,0.228,0.896,0.98,0,0,,0,
FruittiYo-label27.jpg,3.448,346,1522,0.227,0.924,0.889,0,0,,0,
GrapeTang-label37.jpg,0.8636,418,303,1.38,0.279,0.0,0,0,,0,
KopikoBrown-label34.jpg,2.0561,766,2143,0.357,0.915,0.495,0,0,,0,
MegaSardines-label12.jpg,6.1243,169,1189,0.142,0.903,0.955,0,0,,0,
MilkMan-label23.jpg,7.0192,104,828,0.126,0.937,0.923,0,0,,0,
Milo-label30.jpg,1.7547,318,617,0.515,0.202,0.0,0,0,,0,
NescafeCreamyWhite-label35.jpg,3.4843,510,2251,0.227,0.805,0.948,0,0,,1,1.0
NescafeOriginal-label33.jpg,5.4101,495,3127,0.158,0.864,0.778,0,0,,1,1.0
Nestea-label38.jpg,6.8103,232,1777,0.131,0.847,0.692,0,0,,0,
OK-label39.jpg,3.8981,265,1221,0.217,0.866,0.367,0,0,,0,
TopCafe-label28.jpg,1.1518,527,965,0.546,0.922,0.188,0,0,,0,
Yakult-label24.jpg,6.5448,145,1079,0.134,0.855,0.706,0,0,,0,
